# ACTS Test Suite Generation: Mon Nov 13 18:26:33 PST 2017
#  * represents don't care value 

# Degree of interaction coverage: 5
# Number of parameters: 51
# Maximum number of values per parameter: 10
# Number of configurations: 10926
# Number of extended configurations: 0
# ****************************************************
any,posix,boundary,notBoundary,word_begin,word_end,wordC,notWordC,whitespace,notWhitespace,tab,property,notProperty,nameProperty,digit,notDigit,look_ahead,nlook_ahead,look_behind,nlook_behind,unicodeC,backref,zeroOrOne,zeroOrOne_nested,zeroOrMore,zeroOrMore_nested,oneOrMore,oneOrMore_nested,repeat_n,repeat_n_nested,repeat_nm,repeat_nm_nested,repeat_n_more,repeat_n_more_nested,join,list,nList,range,start,end,-w,-c,-i,-e,-f,-x,-t,-v,-BlockSize,syntax,fileType
false,off,false,true,true,true,true,false,true,false,false,enum,off,true,false,false,false,true,true,true,false,false,true,true,false,false,false,true,small,false,small-small,false,large,false,false,false,false,true,true,true,false,false,false,true,true,false,4,true,256,-G,s
false,off,false,false,true,false,true,true,true,false,true,enum,binary,false,false,true,true,false,false,false,true,true,false,true,false,true,true,true,medium,false,small-small,true,large,true,false,true,true,true,true,false,false,false,false,true,false,true,off,false,128,off,l
false,off,true,true,true,true,false,false,true,true,true,enum,binary,true,false,true,false,false,false,false,true,true,true,true,false,true,false,true,small,true,small-small,true,medium,false,true,true,false,false,false,false,true,true,true,false,true,true,1,false,512,-E,s
true,off,false,false,false,true,false,true,false,true,true,enum,binary,false,true,false,false,false,false,true,false,false,false,true,true,true,false,false,medium,true,small-small,false,small,true,true,true,false,true,false,true,false,true,false,true,false,true,2,true,off,-G,m
true,off,true,false,false,true,true,true,true,false,false,enum,binary,true,false,false,true,false,true,true,true,true,false,false,true,false,false,true,medium,false,small-small,false,medium,false,true,false,true,false,false,true,true,false,true,true,true,false,3,false,64,-P,s
false,off,true,true,false,false,false,true,true,true,false,enum,binary,true,true,false,true,true,false,true,false,false,true,true,true,true,false,true,large,true,small-small,false,small,false,true,false,true,false,false,true,false,true,false,false,false,false,4,true,256,-P,l
false,off,true,true,true,false,false,false,false,false,true,enum,enum,false,true,false,false,false,true,false,true,false,false,false,true,false,true,false,medium,false,small-small,true,small,true,true,true,true,true,false,false,true,false,true,false,true,false,off,true,64,-E,s
false,off,true,false,false,false,true,false,true,true,false,enum,enum,false,true,true,false,true,true,true,false,true,true,false,false,true,false,false,medium,true,small-small,false,small,true,false,false,true,true,true,false,true,true,false,true,true,true,1,true,off,off,l
false,off,false,false,true,true,true,true,false,true,true,enum,enum,true,true,false,false,true,false,false,false,false,false,false,false,false,true,false,large,true,small-small,true,medium,false,false,true,false,false,true,false,false,false,false,true,false,false,2,true,512,-P,s
false,off,false,true,false,false,true,true,true,false,true,enum,enum,false,false,true,true,true,true,true,false,true,false,false,true,true,true,true,small,false,small-small,false,medium,false,true,true,false,false,true,false,false,true,true,false,true,true,3,true,128,-G,m
true,off,true,true,true,true,true,true,false,true,false,enum,enum,true,false,true,false,false,true,false,false,false,true,true,true,false,true,true,small,true,small-small,true,medium,true,false,true,false,true,false,false,false,true,false,true,true,true,4,false,64,off,l
true,off,true,false,false,true,false,false,false,true,false,enum,catalog,false,false,true,false,true,false,false,true,false,true,false,false,false,false,false,large,false,small-small,true,large,true,true,false,false,true,false,true,true,true,false,true,true,false,off,true,off,-P,s
true,off,false,false,true,true,true,true,false,false,true,enum,catalog,true,true,true,true,true,true,false,false,true,true,true,false,false,false,false,medium,true,small-small,false,large,true,false,true,true,false,false,false,false,false,true,true,true,false,1,false,256,-E,m
true,off,true,true,false,true,true,false,true,false,false,enum,catalog,false,true,false,true,false,true,false,false,false,false,false,false,false,false,true,small,true,small-small,false,small,false,false,false,true,true,false,false,true,false,true,false,false,true,2,false,128,off,m
false,off,false,false,true,true,false,false,true,true,false,enum,catalog,false,false,false,true,true,true,true,true,true,true,false,true,false,true,false,large,false,small-small,true,small,false,false,true,false,false,false,true,true,true,false,false,false,false,3,false,512,off,l
true,off,true,false,false,false,false,true,false,false,false,enum,catalog,false,true,false,true,false,true,true,false,true,false,true,false,true,true,true,medium,true,small-small,true,large,true,true,false,false,true,false,true,true,true,true,true,true,false,4,false,64,-G,l
true,off,true,false,true,false,true,false,true,true,true,enum,numeric,true,false,false,true,false,false,true,true,true,true,false,true,true,false,false,medium,false,small-small,true,large,true,false,true,true,false,true,true,false,false,true,false,true,true,off,true,256,-G,s
true,off,true,true,false,false,true,true,true,true,true,enum,numeric,false,true,true,false,false,false,true,true,false,false,true,false,true,false,true,large,false,small-small,false,medium,true,false,true,true,false,true,true,true,false,false,true,false,false,1,false,64,-E,m
true,off,false,true,true,false,true,true,false,false,false,enum,numeric,false,false,false,false,true,true,false,true,false,true,true,true,true,true,true,medium,false,small-small,false,small,true,true,false,false,true,false,true,true,false,false,true,false,true,2,false,512,-E,l
